ilkHamle,ikinciHamle,ucuncuHamle,dorduncuHamle,besinciHamle,altinciHamle,yedinciHamle,sekizinciHamle,dokuzuncuHamle,onuncuHamle,sonuc 
Ngf3,Ngf6,e3,g6,Nd3,Bg7,Be2,b6,b4,Nd6,1
e3,Ng6,Bd3,Nc6,Qh5,Rh8,Nc3,e6,f4,Nb4,-1
e3,e6,Qh5,h6,Bd3,Nc6,Nc3,Nb4,Be2,g6,0
Nf3,Nf6,c4,c5,b4,cxb4,Qxb4,Ng6,Ng3,O-O,-1
Ng3,c5,Nh5,Qe5,g4,Qg5,h3,Qg6,c3,f5,1
O-O,Ng6,b4,Ne6,e3,O-O,c4,a5,f4,f5,1
O-O,O-O,Ng3,c5,c4,e6,f4,f5,e3,Nc6,1
f4,Nc6,Bf2,f5,c4,Nb6,b3,Bf7,O-O,O-O,-1
f4,f5,Bxa7,Nc6,Bf2,Bxa2,O-O,Bf7,Nc3,O-O,1
g3,Nc6,Bg2,e6,O-O,Be7,c3,d5,d4,Nd6,1
e4,e6,Ne3,Bd6,h4,c5,h5,h6,Rh3,Nc6,1
d4,d5,Nd3,Ng6,g3,Nd6,Bg2,e6,Bc3,O-O-O,-1
Ng3,e6,e3,d5,Nb3,Nd6,d4,Be7,Bd3,Ng6,-1
g3,g6,Ncd3,Ncd6,f4,b6,Bxa8,Rxa8,O-O-O,f5,-1
g3,g6,Ncd3,Ncd6,f4,b6,Bxa8,Rxa8,Qg2,Rc8,0
Nb3,Nb6,e4,d6,d4,g5,Ne3,Bf6,Bd2,Be6,-1
Nb3,Nb6,g4,Ne6,d4,g5,Be3,d5,O-O-O,Bd7,1
e3,e6,Bd3,Qh4,O-O,b6,Ng3,f5,f4,Nf7,-1
e4,b5,Ng3,d5,Bd3,dxe4,Bxe4,Bxe4,Nxe4,e6,1
b4,Nd6,g3,g6,f4,b6,Bxa8,Rxa8,Qg2,c6,1
b3,g6,Bxh8,Qxh8,g3,Nd6,f4,b6,Bxa8,Rxa8,1
b4,e6,e4,Nfg6,Ne3,Bg5,g3,O-O-O,f4,Bf6,1
b4,e5,Rb3,b6,Ra3,a5,bxa5,Be7,Re3,Nhg6,0
f4,b6,e4,O-O-O,b3,e6,O-O-O,Ng6,f5,exf5,-1
e3,e5,Ng3,a6,O-O-O,f6,b3,O-O-O,Bb2,b5,1
d4,e6,e4,O-O,b4,Be7,Nd3,f5,exf5,Rxf5,0
O-O,b5,e4,e5,Nd3,h5,Nc3,c6,a4,bxa4,-1
e4,O-O,b4,e5,d4,exd4,Bxd4,b6,Qc3,f6,-1
O-O,e5,f4,exf4,Nd3,g5,e3,fxe3,dxe3,Ng6,1
e4,c5,Qc4,e5,d3,Nc6,Nf3,d6,O-O,Be6,-1
d4,d5,Nf3,c6,Bf4,Na6,Nbd2,Bf5,c3,Bc7,1
c4,O-O,b4,c5,bxc5,Qxc5,d4,Qc7,Ng3,b5,-1
O-O,e5,b4,b6,c4,Ng6,Bxg6,hxg6,f3,c5,1
e4,Ned6,f3,f5,d3,c6,b3,Qf7,c4,fxe4,1
Ned3,b6,Ke1,f6,c3,c5,h4,Bc7,h5,Qd5,-1
d4,a5,e4,a4,a3,Nfe6,d5,Nc5,f4,b6,0
c4,g6,Nc3,f5,e4,fxe4,Ne3,e6,g3,e5,1
c4,O-O,c5,Nc6,b3,Ng6,d4,b6,Ng3,f6,-1
O-O,b6,c4,Ng6,b4,c5,bxc5,bxc5,Nc3,e6,1
f4,d5,f5,f6,a4,g6,d4,gxf5,c3,e6,-1
f4,f5,Ng3,d5,c3,Qf7,Qf2,c6,O-O,O-O,1
e4,e5,Bg4,Nb6,f4,exf4,Bxb6,axb6,Bxd7,Bh4,0
a4,e5,a5,f5,a6,b6,e4,Bg5,Qd3,Nd6,1
g4,O-O,d4,d5,Bg5,Nf6,h3,Rfe8,Nb3,Nb6,-1
O-O,d5,c4,dxc4,Qxh7,Nf6,Qc2,Nb6,b3,Bg4,1
g3,g6,Qxb7,Nc6,c3,Rb8,Qa6,Rb6,Qa3,Rb5,1
g3,O-O-O,Bg2,Nc6,b4,g5,Nb3,a6,c4,d5,1
d4,g6,Nf3,Bg7,e3,a5,Nc3,a4,a3,c6,-1
e4,e5,a4,a5,Nf3,Nf6,b3,d6,Bb2,Bd7,0
b3,b6,e4,O-O,d4,g6,Nd2,Ne6,d5,Bxa1,-1
c4,g6,g3,Na6,O-O,b6,Bxa8,Rxa8,Nbc3,O-O,1
e4,e5,f4,exf4,Rxf4,Bf6,Bf2,O-O-O,Nb3,g5,1
e4,f5,exf5,Rxf5,Bg4,Rf4,Bf3,e5,O-O-O,Ra4,-1
c4,Ng6,f4,f5,Qb3,c5,Qxb7,Nb6,b3,Nxf4,-1
Ng3,c5,Nh5,Qb6,Nxg7+,Kd8,c3,Qxb2,Be4,Be5,1
e3,c5,b3,e6,h3,Nbc6,Ndc3,Be7,Qh2,Qf8,-1
d4,f5,Ndc3,a6,g3,b5,Bg2,Nbc6,O-O-O,b4,1
b4,Nf6,g3,Ng4,Nh3,Ng6,e4,c5,bxc5,Rxc5,0
b4,e5,Nf3,f6,c4,Nh6,Ne3,b5,O-O,g6,1
Nf3,Nf6,g4,d5,g5,Ne4,d3,Nd6,Ng3,g6,-1
g3,e5,Nf3,d6,d4,Ng6,Bg2,Be6,O-O,Nf6,1
g3,Nd6,b3,Nc6,f4,f6,d4,e6,d5,exd5,-1
g4,g6,f4,Nc6,Nd3,f5,h3,Nb6,Nc3,O-O-O,1
e4,c6,f4,Bb6,Bxb6,axb6,Ng3,Ng6,f5,Ne5,-1
f4,f5,c3,Ng6,Bb3,Bxb3,axb3,c6,Be3,e6,0
Nf3,Nf6,c4,b5,c5,O-O,O-O,g6,d4,Bg7,-1
Nf3,Nb6,g3,d6,Bg2,f5,O-O,Nf6,d4,Bd7,1
a4,e5,a5,f5,c3,Nd6,Ng3,f4,Ne4,Nxe4,-1
e4,Ne6,Nd3,c5,Ne3,f6,h4,Bc7,Bg4,b6,1
O-O,O-O,e4,Ng6,d4,d6,Ng3,Nc6,d5,Nce5,-1
O-O,O-O,Nc3,f5,e3,c5,Ng3,Nc6,d3,e6,-1
f4,Nc6,g4,g6,Ne3,O-O-O,c3,e6,O-O-O,d5,-1
Nc3,f5,O-O-O,Nc6,Nd3,g6,g3,Nd6,f4,O-O-O,1
e3,d5,Be2,e6,Nf3,Ng6,d3,Be7,Bc3,Nf6,0
Nf3,e6,e3,Be7,Ng3,f5,Be2,O-O-O,O-O-O,Nf6,1
a4,Nc6,a5,d5,d4,g6,c3,e5,dxe5,Qg5+,-1
Nc3,g6,d4,a5,g4,a4,e3,d6,Ng3,Ne6,1
b4,Nd6,Ne3,b6,c4,Ng6,Nd3,Be4,Bc2,e6,-1
Nd3,Nd6,b3,Ne6,Ng3,c5,e3,b5,O-O,Ba5,1
b4,Nf6,c4,g6,Nf3,b6,O-O,Ne6,g3,O-O,-1
b4,c5,g3,cxb4,Qxb4,Nh6,Ne3,Nc6,Qh4,Qd6,1
O-O,O-O,c4,Ng6,Nc3,b6,d4,c5,d5,e6,-1
O-O,O-O,Ng3,c5,b3,b6,c4,Ng6,Ne3,Nc6,1
Nab3,Nab6,g4,d5,f4,Nd6,Bf2,Ndc4,h4,g6,0
Nab3,g5,g4,Nd6,d4,f5,Nd3,fxg4,O-O-O,Bh5,0
f4,f5,Ndc3,Ndc6,e4,fxe4,Nxe4,O-O-O,d4,d5,-1
f4,f5,Ndc3,Ndc6,d4,e6,e3,Bf7,Be2,Be7,1
Nf3,d5,O-O,Nf6,d4,O-O,b3,c6,c4,Nd6,-1
Nf3,d5,O-O,Nf6,d4,O-O,Nd3,Ne4,Nd2,c6,1
c4,O-O,O-O,Nb6,c5,Nd5,d4,c6,e4,Nf4,-1
O-O,d5,d4,c6,Nd3,Nf6,Nb3,O-O,c3,h6,0
g3,O-O,b3,Nc6,c4,d6,O-O,b6,d4,g6,-1
g3,g6,O-O,Nc6,Nc3,Nf6,Nd3,O-O,b3,d5,0
Ng3,f6,f4,Ng6,Nf5,Bd5,Nxg7+,Kf7,Nh5,Bxg2,-1
Ng3,b6,f3,f6,Nd3,Nd6,Nh5,g6,Ng3,e5,0
Ned3,h5,b4,b6,c4,Qh7,f3,Ncd6,Bb3,e6,-1
Ncd3,b6,e3,Ned6,b3,f6,Bg4,Ke8,h4,c5,1
Nf3,Nb6,g3,d6,Bg2,Nf6,d3,O-O,c4,e5,-1
e4,Nb6,Nf3,d5,e5,f6,O-O,g6,d4,Bg4,1
b3,Ng6,Kb2,b5,f3,Rb6,e4,d5,exd5,Bxd5,-1
Ng3,b5,b4,Bd5,a4,bxa4,e4,Bc6,b5,Bb7,1
e4,Nf6,e5,Nd5,d4,Nab6,Bd2,e6,Nf3,Nb4,-1
e4,e6,Nf3,Nb6,d4,Be7,Bd3,d6,O-O,Nf6,1
c4,Nc6,g3,d6,Nc3,g6,Nf3,Bd7,d3,Nf6,-1
Nc3,g6,d3,c6,Bd2,d5,O-O-O,Nf6,Nf3,Bg4,1
g3,e6,Bg2,Be7,Nb3,O-O,d4,d5,O-O,Nb6,0
Ng3,d5,e3,g6,d4,Bg7,Nb3,O-O,Bd3,Nb6,1
g4,Nd6,f4,Nb6,d3,f5,c4,Ndc8,gxf5,Qh5,-1
Nd3,Ncb6,f3,d6,b3,c5,c4,O-O-O,Nc2,f5,-1
g3,Nc6,Bg2,Nf6,Ne3,e6,a4,d5,c3,Bd6,1
e4,Nc6,Nf3,e5,Nc3,Bc5,Bc4,d6,Na4,Bg4,1
b3,Nb6,Bb2,Ng6,f4,d6,e4,Qh8,f5,Ne5,-1
Nb3,f5,f4,b6,Qf2,Bb7,O-O,e5,fxe5,Ng6,1
Ng3,e5,e3,b6,O-O,Ng6,Bg4,O-O,Nc3,Nh4,-1
Ng3,Ng6,h4,h5,e4,e6,Nxh5,e5,Nc3,Bxh4,0
d4,d5,Ne3,c6,h4,Nf6,h5,Ne6,h6,g5,-1
d4,d5,Nf3,Ne6,Ne3,Nf6,c4,dxc4,Nxc4,c5,1
e4,b5,Ng3,Ng6,Qh5,d5,Bd3,e5,exd5,Bd6,-1
e3,e6,Qh5,h6,b3,b6,Ng3,Ng6,Ba6,Nh4,1
b3,g6,Bxh8,Qxh8,g3,b6,Nd3,c5,Bxa8,Rxa8,-1
b4,Nd6,g4,g6,f4,b6,Bxa8,Bxa1,Bg2,Bg7,1
b4,e5,Rb3,b6,Ra3,a5,bxa5,Be7,Re3,Bd5,-1
e4,Nfg6,Nhg3,e6,b4,Bg5,Rb3,O-O-O,Qe2,Kb8,1
e3,O-O-O,Ng3,e5,Nc3,d5,O-O-O,Nc6,Bb5,f6,-1
e4,Nc6,f4,g5,b4,Nxb4,Bb5,c5,Bxh8,Nxa2,1
O-O,e5,e4,b6,Nd3,O-O,b3,Nd6,Nxe5,f6,-1
e4,O-O,O-O,b6,b4,Nd6,d3,e5,c4,Bg5,1
O-O,b5,f4,f5,b3,e6,e3,O-O,Ng3,d6,0
f4,O-O,b4,Nd6,e4,c6,e5,Nb5,a4,Na3,1
d4,c5,dxc5,e5,Be3,Nf6,Nd2,d5,cxd6,Qxd6,-1
d4,Nf6,Nf3,d5,c4,dxc4,e3,b5,a4,c6,1
O-O,c5,c4,b6,d4,Ng6,d5,e6,e4,Bf4,-1
c4,O-O,Ng3,c5,b3,Ng6,Ne3,b6,d4,cxd4,0
Ned3,d6,b4,e5,c4,f5,Bb3,b6,b5,f4,-1
b4,Ncd6,d3,h5,e4,h4,h3,f5,e5,Nf7,0
c4,c6,Nfe3,g6,Nc3,f5,Bd3,Nde6,g3,Nc5,-1
c3,a5,f4,a4,Bc5,Nfe6,Be3,c6,f5,Nf4,-1
O-O,c5,c4,O-O,Nc3,f5,f4,b6,b3,Ng6,-1
O-O,c5,f4,O-O,c4,Nc6,f5,f6,Qh4,Be5,-1
f4,f5,Ng3,c6,b3,d5,c3,Bd6,Qf2,Qf7,1
f4,d5,f5,f6,d4,c6,Bd2,Ndf7,c3,Nd6,1
a4,f5,a5,Nd6,f4,Qf6,Nd3,Nc4,Kc1,Bd5,-1
f4,f5,e4,fxe4,Bg4,e6,Rxe4,Nd6,Ra4,b5,1
O-O,d5,c4,dxc4,Qxh7,c5,d3,Bg4,f3,Be6,-1
c4,O-O,d4,b5,c5,d6,Nb3,dxc5,Nxc5,e5,1
g4,O-O-O,c4,g6,Nc3,d6,Bg2,Bc6,Nb3,Bxg2,-1
g4,Nc6,d4,e6,O-O-O,d5,e4,Nb6,exd5,Nxd5,1
e4,e5,a4,Bc5,a5,a6,Nf3,d6,c3,g6,-1
e4,e5,Bc4,Nf6,d3,a5,f4,exf4,Ne2,a4,1
c4,g6,g3,d6,O-O,Qd7,Nbc3,Ne6,b4,Na6,0
f4,g5,fxg5,Rxg5,Qh4,f6,Qxh7,Rh5,Qd3,Rxh2,1
e4,d5,exd5,Nb6,Bf3,Bb5,d3,e6,dxe6,Bg5+,1
Nb3,e6,e3,Be7,Nf3,Nb6,Be2,f5,d3,Bh5,1
Ng3,f5,c4,f4,Nf5,g6,Nh6,Be6,f3,Nf7,-1
c4,Ng6,Qb3,c6,f4,Bxf4,Qxb7,Be5,d4,Bb8,-1
d4,f5,Ndc3,b5,Nxb5,Qxa2,Nd2,c5,dxc5,Qa5,-1
e3,c5,b3,e6,h4,d5,Qh2,Ndc6,Nbc3,a6,1
b4,Nf6,Bxf6,exf6,g3,O-O-O,Ne3,g6,c4,c6,1
b4,Nf6,g3,Ng4,Nh3,Ng6,f4,b5,e4,d6,1
g3,e5,Nf3,e4,Ng5,d5,Nxh7,Be7,h4,f6,-1
Nf3,Nf6,c4,g6,e4,c5,Be2,Bg7,O-O,Nh5,1
g4,Nc6,f4,Nd6,Nd3,f5,gxf5,Nxf5,Nc3,g6,-1
g3,Nd6,Nc3,Nc6,f4,f5,Bc5,g6,Nd3,O-O-O,1
f4,f5,c3,c6,Bb3,Ng6,Bxg8,Rxg8,Nd3,Qd6,-1
c3,c6,Ng3,a5,f4,Ng6,Nh5,a4,e4,f6,0
Nf3,d5,O-O,c6,b3,g6,d4,Bg7,Bg5,h6,1
d4,Nf6,Nf3,d5,Ne5,Ng4,Nxg4,Bxg4,h3,Bf5,1
Nf3,f5,a4,e6,a5,a6,e3,Nf6,Be2,Nc6,-1
e4,c5,f3,Nf6,Bg3,d6,Ne3,g6,Ne2,Bg7,1
e4,e5,Nab3,Nab6,Nd3,Qh4,Qe2,f6,g3,Qh6,-1
f4,f5,Nab3,b6,Nd3,Nd6,Ne5,Nf7,Nf3,Nd6,1
d4,d5,g3,c6,c3,Nd6,Ne3,g5,Bg2,e5,0
d4,c6,e4,g6,c3,d5,exd5,cxd5,g4,Nf6,1
Nd3,Nd6,f4,f6,O-O-O,b6,g4,c6,e4,h5,-1
Nd3,Nd6,O-O-O,O-O-O,f4,f5,Nb3,Nb6,Ndc5,Rde8,1
e4,e5,Nbc3,f6,Bc4+,Bf7,d3,Bxc4,dxc4,Nbc6,-1
e4,e5,Bc4,Bc5,Ne3,O-O,Nc3,Nbc6,Ncd5,Ne6,1
a4,Nc6,a5,Ne6,c3,Nc5,Ra3,f6,g3,Nb3,1
d3,a5,Nc3,a4,a3,c6,f4,g6,e4,d6,1
Nbc3,f6,Ne3,e6,d4,d5,O-O-O,c5,dxc5,Nbc6,0
f4,Nbc6,e4,g5,fxg5,Ne6,h4,O-O-O,Nbc3,f6,-1
a4,d6,Nc3,h6,Ra3,g5,f4,gxf4,Rxf4,e5,1
d3,a5,g3,a4,Nh3,d6,Ng5,f6,Nf3,f5,-1
c4,Nf6,Nf3,c5,Ng3,d5,cxd5,Bg4,Ng5,Ng6,-1
d4,d5,c3,Ng6,f4,f5,Ng3,Bd7,Nh5,Qf7,1
c4,Nf6,Nf3,c5,b3,O-O,d4,cxd4,Bxd4,b6,-1
c4,Nf6,b3,b6,Nf3,d5,O-O,c5,d4,dxc4,1
a4,Nf6,a5,d5,a6,bxa6,Rxa6,Ng6,c4,dxc4,1
Ng3,Ne6,d3,a5,e3,a4,Bf3,a3,Bc3,axb2,-1
Nd3,b6,f3,f6,Be3,c5,O-O,Ng6,a4,d5,0
Ng3,f6,c3,Ng6,Bxg6+,hxg6,Nb3,b6,f3,Nd6,1
Nc3,d5,d4,g6,g3,c6,Nb3,Na6,Bd2,Nb4,0
d4,d5,g4,Nb6,Nc3,c6,e4,dxe4,Nxe4,g6,1
f4,f6,e4,c6,Be3,e5,fxe5,Bxe5,d4,Bc7,-1
f3,f5,c3,Be6,Nab3,O-O,Nc5,Ncb6,Nxb7,Qc8,1
Nfe3,c5,c4,e6,b4,cxb4,d4,a5,a3,b3,-1
d4,Nfe6,e3,c5,d5,Nc7,c4,b5,b3,bxc4,1
b3,b6,Nd3,Nh6,Nh3,f6,g3,Bxh1,Qxh1,e5,0
g3,g6,Nd3,Nd6,Nh3,f5,f4,O-O-O,Ng5,Nf6,1
Ng3,Nf6,Nf5,Rg8,Nf3,Ng6,c4,c5,O-O,b6,0
Ng3,Nh6,c4,O-O,b3,Ng6,Qc3,f6,Bxg6,hxg6,0
Ne3,d6,d3,g6,c4,Nb6,Bc3,Ba4+,b3,Bxc3,-1
d3,Ne6,g3,c5,Nb3,d6,Ba5+,b6,Bc3,Nac7,1
g3,g5,Ncd3,Nb6,b3,Bxa1,Rxa1,d5,a4,e6,0
g3,g6,Ncd3,Ncd6,f4,b6,Bxa8,Rxa8,Nf3,c5,0
b4,b6,Rb3,e5,b5,Nb7,Ra3,Na5,Bc3,Ne6,0
g3,g6,Nfe3,b6,Bxa8,Rxa8,b3,Bxa1,Rxa1,Nfe6,1
c4,d5,cxd5,e6,dxe6,Bxe6,e3,Nc6,Bb5,Ng6,-1
e4,e5,Nc3,Nc6,Nd5,Qb8,Ng3,Ng6,b3,Nd4,1
e4,g5,Ne3,d6,f3,Ng6,Bf2,Nb6,O-O,c5,-1
f4,f5,g3,Nd6,d3,g6,c3,e5,fxe5,Bxe5,1
b4,b5,Rb3,a5,bxa5,c5,e3,c4,Rb1,Qxa5,-1
Nef3,b5,b4,Bd5,a4,bxa4,e4,Bb7,Bd4,Nd6,1
b3,b6,Nd3,e6,g4,Bxh1,Rxh1,Nc6,Nc3,Nd6,-1
g3,g6,Qh3,h5,Nd3,Nd6,b3,Bxa1,Rxa1,Ne6,1
Ne3,Ng6,c4,c5,Nf3,e6,O-O,f5,b3,O-O,-1
c4,Ng6,Ng3,O-O,b3,c5,d4,cxd4,Bxd4,b6,1
Ng3,f6,Nb3,b6,f4,c5,e4,d5,Bf3,Qd7,1
f3,c5,c4,f6,Ng3,Bf7,b4,Bb6,Nf5,g6,1
f4,f5,g3,Nc6,e4,Bf7,c3,fxe4,Bxe4,d5,1
e4,g5,g3,Bd4,Ne3,f6,Nf5,Ne6,c3,Bb6,-1
c4,c5,Nb3,f6,f3,Nb6,Nxc5,d6,Nb3,Rxc4,1
d4,c6,c4,f6,f3,Nb6,c5,Nd5,Nb3,Bf7,-1
e3,b5,b3,e6,Bb2,Be7,Be2,Nc6,a3,f5,1
b4,b6,e3,e6,Ba6+,Bb7,Bxb7+,Nxb7,g4,a5,-1
f4,f5,g3,Nbc6,e4,fxe4,Qxe4,e5,Nbc3,Bf7,1
f4,g6,e4,e5,fxe5,Qxe5,Bf2,f6,Nbc3,Nbc6,0
f4,f5,Bxa7,Bxa2,Nc3,Be6,g3,d5,Nb3,g6,-1
f4,Nb6,Bxb6,axb6,d4,g6,d5,d6,O-O,Qg4,-1
g4,g6,f4,f5,gxf5,gxf5,Nc3,Nc6,Nd3,Bc4,0
b3,g5,d4,Nc6,f4,gxf4,Nd3,f5,Nxf4,e5,1
b3,b5,Nh3,Nh6,Ng5,O-O,g3,f6,Bxa8,Qxa8,0
g4,b5,Bxa8,Qxa8,b3,Qg2,Nf3,Qxg4,Rg1,Qe4,1
f4,f5,Bxa7,Na6,Bf2,Bxa2,Nc3,Be6,Nb3,Bxb3,-1
f4,Nc6,Be3,Nb6,d3,Nd5,Bd2,g5,g3,Nb6,-1
b3,b5,e3,e6,Bf3,d5,Ned3,c5,Bh5,Nf6,1
e3,b5,b4,e6,Be2,Bc6,Nf3,Bf6,d4,Qe7,-1
b3,b6,Ng3,e6,Nh5,f6,Bxf6,gxf6,Nxf6+,Kf7,0
e3,b6,Bb5,Bc6,Bd3,Ng6,b4,Nh4,f3,Bxf3,1
d4,d5,Bf4,e6,e3,Bd6,Nd3,Nc6,Nc3,Bd7,1
e4,e5,Nc3,Bc5,Nf3,Nc6,Nxe5,Bxf2+,Kxf2,Nxe5,-1
b4,b5,f4,f5,Bd4,g5,Qg3,Nf7,Qh3,gxf4,-1
e4,e5,b4,b6,Ng3,Ng6,d4,Bb7,dxe5,Nxe5,-1
Nb3,Nb6,f4,d6,g3,e5,fxe5,dxe5,Bg2,f6,1
f4,f6,Nb3,Nb6,e4,d5,Bxb6,axb6,Nf2,dxe4,1
c4,c6,e4,d5,cxd5,cxd5,d4,dxe4,Bxe4,e5,1
d4,c6,e4,e5,c3,exd4,cxd4,d5,e5,c5,-1
g3,Nc6,f4,f5,Bxc6,dxc6,Qf3,O-O-O,Qa3,a6,0
g3,Nc6,f4,g6,Nc3,Nb6,e4,Bxc3,dxc3,f6,-1
b3,d5,e3,b5,Be2,h5,a4,b4,Qd4,Bf5,1
b4,b6,h4,e6,d4,a5,b5,Qd5,e3,Bb7,1
b3,b5,g4,Bxh1,Rxh1,Ne6,c4,b4,Qc2,O-O,0
b4,b6,Ne3,g6,Bxh8,Rxh8,c4,c5,Qa4,Qc7,1
c4,f6,d3,c6,Bc3,d5,cxd5,cxd5,Nb3,e5,1
e4,c5,f3,d6,a4,Nb6,a5,Bb5+,d3,Nd7,-1
c4,f6,b3,e5,f3,c6,Qc3,Bf7,Ne3,Ne6,1
e4,c5,f3,b6,c3,Qc6,Ne3,Ne6,Ne2,f6,0
d4,d5,Nf3,Nf6,Ne3,Ne6,c4,dxc4,Nxc4,c5,1
e4,c5,c3,b6,Bc2,Nc6,d3,Nf6,Bg5,h6,-1
g3,g6,d3,d6,Bg2,a5,Nf3,f5,Bd2,e5,1
d4,g6,d5,e6,e4,b6,g4,Bb7,g5,Qd6,-1
g4,g6,Nd3,e6,b4,Bxa1,Rxa1,Qh4,h3,f5,1
b3,b6,Nh3,Ngf6,e3,g6,Qe2,Bg7,f4,c5,-1
b3,b5,Qa3,a6,Nd3,g6,Bxh8,Rxh8,Ne3,Nf6,0
b4,b6,Qa3,a6,g4,Bxh1,Rxh1,Qb7,Ng3,Nf6,-1
d4,e5,dxe5,Rxe5,e4,d5,Nc3,Bb4,Bd2,d4,1
e4,Nc6,Bc4,d6,Ng3,Ng6,d3,Nge5,Bd5,e6,-1
d4,Nhg6,Nhg3,e5,d5,d6,Ne3,Nd7,c4,Nb6,1
Nhg3,d5,c3,Nfg6,Ba4+,b5,Bb3,e6,e4,c6,-1
g3,Nc6,Bg2,g6,c3,e6,d4,d5,Nd2,Bd7,1
Nf3,g6,Nc3,Nd6,d4,Bg7,e3,b6,Ng5,h6,-1
b3,Nd6,g3,g6,Bxh8,Rxh8,Nd3,Qh6,h4,Ne6,-1
g4,g6,Qh3,h6,Ne3,Ne6,Nd3,Nd6,b3,Bxa1,1
b3,Nf6,e3,e6,Bb2,Nd6,Nd3,b6,Be2,Be7,0
Nf3,Nf6,Nd3,d6,b3,e5,Nh4,b6,f4,e4,-1
a4,Ne6,a5,Nf6,g3,a6,f4,d5,Bf2,g6,1
Nf3,a5,d3,a4,Ne3,g6,a3,d6,Ng5,f6,-1
d4,Nb6,Rd3,d6,O-O-O,Bb5,Ra3,a6,g3,Nf6,-1
Nf3,d5,Nb3,Rd6,d3,O-O-O,Bb4,Rb6,Qe1,g5,-1
e4,e5,Nd3,f6,Nc3,Nc6,O-O-O,Nb6,f4,exf4,1
e4,e5,Nc3,Nd6,f3,Nc6,Nb3,f5,exf5,Nxf5,-1
Nb3,Ng6,e4,d5,exd5,Nb6,f4,f5,g3,Nxd5,-1
Nb3,f5,e3,e6,Be2,Be7,O-O-O,Nb6,Ng3,d6,1
e4,d5,exd5,Nb6,c4,e6,d4,Nf6,Bd3,Be7,-1
Nb3,g6,Nf3,Bg7,h4,h5,d4,O-O,Bg5,Nf6,-1
e4,Nb6,O-O,d6,d4,O-O,Nc3,Be6,d5,Bd7,1
O-O,d5,Nb3,O-O,Nc3,e5,d4,exd4,Nxd4,c5,0
c3,Ng6,g3,c5,d4,e6,dxc5,Qxc5,Be3,Qa5,1
b3,c6,Ng3,d5,c4,f5,cxd5,cxd5,Nc3,e6,0
f4,Nb6,d3,f5,Nb3,g6,g3,Bf6,c4,d5,1
Nb3,f5,f4,Nb6,a4,Nxa4,Ra1,b5,g3,g6,0
Nf3,a5,d4,d5,a3,Nf6,Ka2,Ra6,Ng5,Be6,0
Nf3,d5,d4,a6,a4,g6,Ra3,Ka7,Ng3,Nf6,1
a4,Nf6,e4,e5,a5,Ng6,d3,b5,Nf3,Ba6,1
e4,e5,Nf3,d6,a4,a5,Ng3,Ne6,Ra3,g6,-1
Nf3,Nf6,c4,Nc6,d4,d5,O-O,Qe6,cxd5,Nxd5,1
Nf3,Nf6,Nc3,O-O,d4,d5,O-O,c5,Qe3,cxd4,-1
a4,g6,a5,Nfe6,Nfe3,b5,c3,a6,d4,Bb7,1
Nfe3,a5,Nc3,c6,g4,d5,Nf5,Ra6,Qg3+,e5,-1
g3,Nc6,Nb3,Nb6,Nc5,Nc4,c3,Rb8,d3,Nd6,1
Nb3,Nb6,Na5,Na4,Nxb7,Nxb2,Nxd8,Rxd8,Nc3,f5,-1
f4,Nb6,Nc3,Nc6,e4,e5,fxe5,Qxe5,O-O-O,f6,-1
Nb3,e5,Nc3,Nc6,O-O-O,f5,e4,fxe4,Qxe4,O-O-O,-1
b4,Ng6,e3,b5,Qh5,e5,Bxe5,Nxe5,Qxe5,Bd6,1
b4,e6,Ng3,Ng6,e4,b5,Bd3,Bd6,Rb3,Nf6,-1
O-O,O-O,e4,Nc6,f4,f5,exf5,Rxf5,Ng3,Rf8,1
O-O,O-O,Ng3,f5,d4,d5,e3,c5,Bf3,e6,0
f4,Nab6,Qd4,d5,O-O,Nd6,c3,Nbc4,Nd3,f6,1
Nab3,Nd6,d4,f6,Nd3,Bf7,f3,O-O-O,Qf2,Nb6,-1
e4,e5,Nd3,Nc6,Nc3,f6,f4,a5,Qe1,a4,1
f4,Nd6,Nc3,f5,a4,Nc6,Nf3,Qe8,d3,O-O-O,-1
Nf3,Nf6,c4,c5,Qc3,Ne6,Ne3,d6,Bf5,Bc6,1
Nf3,c5,Ne3,Ne6,a3,Nf6,Ba2,Bf4,d3,d6,-1
g3,Nd6,b3,O-O,O-O,b6,Nf3,Qa6,d3,Ne6,-1
b3,b5,O-O,O-O,Nd3,Nd6,f4,c5,f5,f6,-1
Ned3,O-O,O-O,Ned6,b3,b6,f3,g6,Bxh8,Kxh8,1
O-O,O-O,b4,b5,Ncd3,d6,g3,e5,Bxa8,Qxa8,-1
e4,e5,d4,Qh4,Ng3,d6,Bb5+,c6,Be2,Be7,1
e3,Ng6,Qh5,e6,Bd3,Be7,b4,O-O,O-O,Nb6,0
Ng3,d5,e4,dxe4,Nxe4,e5,Nb3,a5,d4,a4,1
d4,d5,Ng3,Ng6,Nd3,e6,e4,dxe4,Nxe4,Nd6,0
Nf3,c5,Ng3,Ng6,Nf5,Nf4,Nxg7,Nxg2,Rg1,Nxe1,-1
c4,Ng6,Ng3,Nf6,Nf5,d5,Nxg7,Bd7,Qc2,Nf4,0
Nb3,g5,Nc3,Nb6,O-O-O,d5,Kb1,d4,Ne4,f5,-1
